,id,scholar_id,title,abstract,bib_id,journal,number,pages,pub_type,pub_year,publisher,venue,volume,num_citations,gsrank,citedby_url,eprint_url,pub_url,url_add_sclib,url_related_articles,url_scholarbib,search_term,depth,fetched_citations
11,12,PRH5DEUCpaIJ,Machine learning for prediction of septic shock at initial triage in emergency department,We hypothesized utilizing machine learning (ML) algorithms for screening septic shock in   Machine learning (ML) algorithms are being actively studied in healthcare for various,kim2020machine,Journal of critical care,,163--170,article,2020.0,Elsevier,Journal of critical care,55.0,30,13,"/scholar?cites=11719776100895232317&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.sciencedirect.com/science/article/pii/S0883944119301534,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=PRH5DEUCpaIJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:PRH5DEUCpaIJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:PRH5DEUCpaIJ:scholar.google.com/&output=cite&scirp=12&hl=en,"""emergency department"" machine learning",0,0
12,13,WvL-UDQ6Mn0J,An integrated approach of machine learning and systems thinking for waiting time prediction in an emergency department,We conduct a case study of an emergency department in Hong Kong to examine the   integrated machine learning and systems thinking approach. Four machine learning models and,kuo2020integrated,International journal of medical informatics,,104143,article,2020.0,Elsevier,International journal of …,139.0,28,14,"/scholar?cites=9021336999948120666&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.sciencedirect.com/science/article/pii/S1386505619309657,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=WvL-UDQ6Mn0J&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:WvL-UDQ6Mn0J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:WvL-UDQ6Mn0J:scholar.google.com/&output=cite&scirp=13&hl=en,"""emergency department"" machine learning",0,0
13,14,k7vJHm8x8FQJ,Heart rate variability based machine learning models for risk prediction of suspected sepsis patients in the emergency department,"in the emergency department (ED) may guide appropriate management and disposition,  thereby improving outcomes. We compared the performance of machine learning models",chiew2019heart,Medicine,6,,article,2019.0,Wolters Kluwer Health,Medicine,98.0,61,15,"/scholar?cites=6120446246924172179&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6380871/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6380871/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=k7vJHm8x8FQJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:k7vJHm8x8FQJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:k7vJHm8x8FQJ:scholar.google.com/&output=cite&scirp=14&hl=en,"""emergency department"" machine learning",0,0
14,15,FZafBhCkcwEJ,Predicting Intensive Care Unit admission among patients presenting to the emergency department using machine learning and natural language processing,"[9, 14, 17] using machine learning techniques and historical information accessible from the  EHR  In this work, we employed machine learning to identify ED patients with high risk of ICU",fernandes2020predicting,PloS one,3,e0229331,article,2020.0,"Public Library of Science San Francisco, CA USA",PloS one,15.0,26,16,"/scholar?cites=104607605097207317&as_sdt=5,33&sciodt=1,33&hl=en",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229331,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229331,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=FZafBhCkcwEJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:FZafBhCkcwEJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:FZafBhCkcwEJ:scholar.google.com/&output=cite&scirp=15&hl=en,"""emergency department"" machine learning",0,0
15,16,jQNn1K4zVDQJ,Machine learning-based prediction of Korean triage and acuity scale level in emergency department patients,This study developed and compared several machine learning models using information   machine learning algorithms can predict KTAS levels robustly during emergency department,choi2019machine,Healthcare informatics research,4,305--312,article,2019.0,Korean Society of Medical Informatics,Healthcare informatics …,25.0,28,17,"/scholar?cites=3770695613996794765&as_sdt=5,33&sciodt=1,33&hl=en",https://synapse.koreamed.org/articles/1136699,https://synapse.koreamed.org/articles/1136699,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=jQNn1K4zVDQJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:jQNn1K4zVDQJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:jQNn1K4zVDQJ:scholar.google.com/&output=cite&scirp=16&hl=en,"""emergency department"" machine learning",0,0
16,17,SZBUJ5s4UPAJ,Comparison of machine learning classifiers for influenza detection from emergency department free-text reports,we have shown that electronic Emergency Department (ED) free-text reports can be of value  to improve influenza detection in real time. This paper studies seven machine learning (ML),pineda2015comparison,Journal of biomedical informatics,,60--69,article,2015.0,Elsevier,Journal of biomedical …,58.0,72,18,"/scholar?cites=17316402806270496841&as_sdt=5,33&sciodt=1,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1532046415001872,https://www.sciencedirect.com/science/article/pii/S1532046415001872,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=SZBUJ5s4UPAJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:SZBUJ5s4UPAJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:SZBUJ5s4UPAJ:scholar.google.com/&output=cite&scirp=17&hl=en,"""emergency department"" machine learning",0,0
17,18,ptg-W_xNWRUJ,Predicting hospital admission for older emergency department patients: Insights from machine learning,"Cognizant of the fact that older adults have distinct health care needs and a greater risk for  adverse health events, clinical researchers and machine learning experts commonly aim to",mowbray2020predicting,International Journal of Medical Informatics,,104163,article,2020.0,Elsevier,International Journal of …,140.0,16,19,"/scholar?cites=1538346493981677734&as_sdt=5,33&sciodt=1,33&hl=en",https://bdg.mcmaster.ca/s/Predicting-Hospital-Admission-for-Older-Emergency-Departmetn-Patients.pdf,https://www.sciencedirect.com/science/article/pii/S1386505619314510,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=ptg-W_xNWRUJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:ptg-W_xNWRUJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:ptg-W_xNWRUJ:scholar.google.com/&output=cite&scirp=18&hl=en,"""emergency department"" machine learning",0,0
18,19,t8mVKQl6Zc8J,Machine learning-based models to support decision-making in emergency department triage for patients with suspected cardiovascular disease,Accurate differentiation and prioritization in emergency department (ED) triage is important   of four common machine learning models to assist in decision making of triage levels.,jiang2021machine,International Journal of Medical Informatics,,104326,article,2021.0,Elsevier,International Journal of …,145.0,15,20,"/scholar?cites=14944485118269835703&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.sciencedirect.com/science/article/pii/S1386505620313873,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=t8mVKQl6Zc8J&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:t8mVKQl6Zc8J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:t8mVKQl6Zc8J:scholar.google.com/&output=cite&scirp=19&hl=en,"""emergency department"" machine learning",0,0
19,20,L_vpfkDww38J,A machine learning approach to predicting need for hospitalization for pediatric asthma exacerbation at the time of emergency department triage,"Pediatric asthma is a leading cause of emergency department ( Machine learning offers a  population-specific, dynamic  of four common machine learning approaches, incorporating",patel2018machine,Academic emergency medicine,12,1463--1470,article,2018.0,Wiley Online Library,Academic emergency …,25.0,54,21,"/scholar?cites=9206466223073262383&as_sdt=5,33&sciodt=1,33&hl=en",https://onlinelibrary.wiley.com/doi/pdf/10.1111/acem.13655,https://onlinelibrary.wiley.com/doi/abs/10.1111/acem.13655,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D20%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=L_vpfkDww38J&ei=0IE0Y9v7NY3MyQSdgLaoAw&json=","/scholar?q=related:L_vpfkDww38J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:L_vpfkDww38J:scholar.google.com/&output=cite&scirp=20&hl=en,"""emergency department"" machine learning",0,0
20,21,8LKb2IheYcoJ,"Reducing patient mortality, length of stay and readmissions through machine learning-based sepsis prediction in the emergency department, intensive care unit and hospital floor units",sepsis detection protocol for their emergency department (ED)  by CRMC is a machine learning  program that provides risk  rate with the use of the machine learning algorithm in CRMC’s,mccoy2017reducing,BMJ open quality,2,e000158,article,2017.0,British Medical Journal Publishing Group,BMJ open quality,6.0,105,22,"/scholar?cites=14583041010245022448&as_sdt=5,33&sciodt=1,33&hl=en",https://bmjopenquality.bmj.com/content/bmjqir/6/2/e000158.full.pdf,https://bmjopenquality.bmj.com/content/6/2/e000158.abstract,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D20%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=8LKb2IheYcoJ&ei=0IE0Y9v7NY3MyQSdgLaoAw&json=","/scholar?q=related:8LKb2IheYcoJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:8LKb2IheYcoJ:scholar.google.com/&output=cite&scirp=21&hl=en,"""emergency department"" machine learning",0,0
21,22,tcihpKQfYeQJ,Machine learning prediction of postoperative emergency department hospital readmission,"Within this set of admissions, 969 (5.0%) met our endpoint definition of an emergency  department readmission. We considered all of our machine learning models built using the",mivsic2020machine,Anesthesiology,5,968--980,article,2020.0,,Anesthesiology,132.0,19,23,"/scholar?cites=16456469305385666741&as_sdt=5,33&sciodt=1,33&hl=en",https://pubs.asahq.org/anesthesiology/article-pdf/132/5/968/517220/20200500_0-00013.pdf,https://pubs.asahq.org/anesthesiology/article-abstract/132/5/968/109026,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D20%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=tcihpKQfYeQJ&ei=0IE0Y9v7NY3MyQSdgLaoAw&json=","/scholar?q=related:tcihpKQfYeQJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:tcihpKQfYeQJ:scholar.google.com/&output=cite&scirp=22&hl=en,"""emergency department"" machine learning",0,0
22,23,uuc-_J6bV_YJ,"Machine learning to predict, detect, and intervene older adults vulnerable for adverse drug events in the emergency department",The Geriatric Emergency Department Guidelines recommend  identify vulnerable patients  due to ADE is machine learning.  explore the use of machine learning to identify older adults at,ouchi2018machine,Journal of Medical Toxicology,3,248--252,article,2018.0,Springer,Journal of Medical Toxicology,14.0,16,24,"/scholar?cites=17750827563443218362&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6097964/,https://link.springer.com/article/10.1007/s13181-018-0667-3,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D20%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=uuc-_J6bV_YJ&ei=0IE0Y9v7NY3MyQSdgLaoAw&json=","/scholar?q=related:uuc-_J6bV_YJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:uuc-_J6bV_YJ:scholar.google.com/&output=cite&scirp=23&hl=en,"""emergency department"" machine learning",0,0
